pid,name,birthdate,college,height,weight,current_team
1,Alex Abrines,1-Aug-93,,78,190,Free Agent
2,Quincy Acy,6-Oct-90,Baylor University,79,240,Brooklyn Nets
3,Steven Adams,20-Jul-93,University of Pittsburgh,84,255,Oklahoma City Thunder
4,Bam Adebayo,18-Jul-97,University of Kentucky,82,243,Miami Heat
5,Arron Afflalo,15-Oct-85,"University of California, Los Angeles",77,210,Orlando Magic
6,Alexis Ajinca,6-May-88,,83,250,
7,Cole Aldrich,31-Oct-88,University of Kansas,83,260,Minnesota Timberwolves
8,LaMarcus Aldridge,19-Jul-85,University of Texas at Austin,82,234,San Antonio Spurs
9,Jarrett Allen,21-Apr-98,University of Texas at Austin,75,192,Brooklyn Nets
10,Kadeem Allen,15-Jan-93,University of Arizona,76,213,Boston Celtics
11,Lavoy Allen,4-Feb-89,Temple University,81,220,
12,Tony Allen,11-Jan-82,Oklahoma State University,78,228,New Orleans Pelicans
13,Al-Farouq Aminu,21-Sep-90,Wake Forest University,81,230,Portland Trail Blazers
14,Chris Andersen,7-Jul-78,Blinn College,82,240,
15,Alan Anderson,16-Oct-82,Michigan State University,82,252,
16,Justin Anderson,19-Nov-93,University of Virginia,83,222,Philadelphia 76ers
17,Kyle Anderson,20-Sep-93,"University of California, Los Angeles",80,240,San Antonio Spurs
18,Ryan Anderson,6-May-88,University of California,80,232,Houston Rockets
19,Ike Anigbogu,22-Oct-98,"University of California, Los Angeles",75,188,Indiana Pacers
20,Giannis Antetokounmpo,6-Dec-94,,80,215,Milwaukee Bucks
21,Carmelo Anthony,29-May-84,Syracuse University,81,235,Oklahoma City Thunder
22,Joel Anthony,9-Aug-82,"University of Nevada, Las Vegas",79,213,
23,OG Anunoby,17-Jul-97,Indiana University,84,255,Toronto Raptors
24,Ryan Arcidiacono,26-Mar-94,Villanova University,72,183,Chicago Bulls
25,Trevor Ariza,30-Jun-85,"University of California, Los Angeles",81,225,Houston Rockets
26,Darrell Arthur,25-Mar-88,University of Kansas,78,222,Denver Nuggets
27,Jamel Artis,12-Jan-93,University of Pittsburgh,76,220,Orlando Magic
28,Omer Asik,4-Jul-86,,78,190,Chicago Bulls
29,D.J. Augustin,10-Nov-87,University of Texas at Austin,72,185,Orlando Magic
30,Luke Babbitt,20-Jun-89,"University of Nevada, Reno",80,210,Miami Heat
31,Dwayne Bacon,30-Aug-95,Florida State University,78,175,Charlotte Hornets
32,Ron Baker,30-Mar-93,Wichita State University,80,200,New York Knicks
33,Wade Baldwin,29-Mar-96,Vanderbilt University,75,200,Portland Trail Blazers
34,Lonzo Ball,27-Oct-97,"University of California, Los Angeles",82,260,Los Angeles Lakers
35,Leandro Barbosa,28-Nov-82,,77,201,
36,J.J. Barea,26-Jun-84,Northeastern University,77,207,
37,Harrison Barnes,30-May-92,University of North Carolina,77,196,Dallas Mavericks
38,Matt Barnes,9-Mar-80,"University of California, Los Angeles",81,235,
39,Will Barton,6-Jan-91,University of Memphis,77,210,Denver Nuggets
40,Brandon Bass,30-Apr-85,Louisiana State University,81,224,
41,Nicolas Batum,14-Dec-88,,78,210,Charlotte Hornets
42,Jerryd Bayless,20-Aug-88,University of Arizona,85,225,Philadelphia 76ers
43,Aron Baynes,9-Dec-86,Washington State University,82,210,Boston Celtics
44,Kent Bazemore,1-Jul-89,Old Dominion University,73,185,Atlanta Hawks
45,Bradley Beal,28-Jun-93,University of Florida,81,220,
46,Malik Beasley,26-Nov-96,Florida State University,78,197,Denver Nuggets
47,Michael Beasley,9-Jan-89,Kansas State University,81,255,New York Knicks
48,Marco Belinelli,25-Mar-86,,82,240,Philadelphia 76ers
49,Jordan Bell,7-Jan-95,University of Oregon,81,250,Golden State Warriors
50,DeAndre' Bembry,4-Jul-94,Saint Joseph's University,76,197,
51,Dragan Bender,17-Nov-97,,73,205,Phoenix Suns
52,Anthony Bennett,14-Mar-93,"University of Nevada, Las Vegas",76,200,
53,Ben Bentil,29-Mar-95,Providence College,78,205,
54,Davis Bertans,12-Nov-92,,80,216,
55,Patrick Beverley,12-Jul-88,University of Arkansas,84,260,Los Angeles Clippers
56,Khem Birch,28-Sep-92,"University of Nevada, Las Vegas",81,235,Orlando Magic
57,Jabari Bird,3-Jul-94,University of California,78,206,Boston Celtics
58,Bismack Biyombo,28-Aug-92,,80,228,Orlando Magic
59,Nemanja Bjelica,9-May-88,,74,180,Minnesota Timberwolves
60,Tarik Black,22-Nov-91,University of Kansas,83,240,Houston Rockets
61,Antonio Blakeney,4-Oct-96,Louisiana State University,81,186,Chicago Bulls
62,Eric Bledsoe,9-Dec-89,University of Kentucky,77,215,Milwaukee Bucks
63,Vander Blue,17-Jul-92,Marquette University,72,161,Los Angeles Lakers
64,Bogdan Bogdanovic,18-Aug-92,,78,220,Sacramento Kings
65,Bojan Bogdanovic,18-Apr-89,,74,175,
66,Andrew Bogut,28-Nov-84,University of Utah,79,225,Los Angeles Lakers
67,Joel Bolomboy,28-Jan-94,Weber State University,77,189,Milwaukee Bucks
68,Devin Booker,30-Oct-96,University of Kentucky,77,225,Phoenix Suns
69,Trevor Booker,25-Nov-87,Clemson University,79,195,Indiana Pacers
70,Avery Bradley,26-Nov-90,University of Texas at Austin,82,248,Los Angeles Clippers
71,Tony Bradley,8-Jan-98,University of North Carolina,79,205,Utah Jazz
72,Corey Brewer,5-Mar-86,University of Florida,78,214,Oklahoma City Thunder
