gid,teamAbbr,playDispNm,minutes,points,assists,turnovers,steals,blocks,fouls,fga,fgm,threepa,threepm,fta,ftm,rebounds
43025CLE,BOS,Jaylen Brown,40,25,0,3,3,0,5,23,11,9,2,2,1,6
43025CLE,BOS,Kyrie Irving,39,22,10,2,3,0,4,17,8,9,4,2,2,4
43025CLE,BOS,Jayson Tatum,37,14,3,1,0,0,4,12,5,2,1,3,3,10
43025CLE,BOS,Al Horford,32,9,5,0,0,1,2,7,2,2,0,7,5,7
43025CLE,BOS,Gordon Hayward,5,2,0,0,0,0,1,2,1,1,0,0,0,1
43025CLE,BOS,Marcus Smart,35,12,3,2,2,2,2,16,5,4,0,3,2,9
43025CLE,BOS,Terry Rozier,20,9,2,0,3,0,0,6,2,3,1,4,4,3
43025CLE,BOS,Aron Baynes,19,6,1,2,0,1,5,2,2,0,0,4,2,5
43025CLE,BOS,Semi Ojeleye,9,0,0,0,0,0,1,2,0,1,0,0,0,0
43025CLE,BOS,Shane Larkin,5,0,0,0,0,0,0,1,0,1,0,0,0,1
43025CLE,CLE,LeBron James,41,29,9,4,0,2,3,19,12,5,1,4,4,16
43025CLE,CLE,Jae Crowder,35,11,2,1,2,0,2,10,3,5,1,4,4,5
43025CLE,CLE,Derrick Rose,31,14,2,2,0,0,2,14,5,3,1,4,3,4
43025CLE,CLE,Dwyane Wade,29,8,3,4,0,2,1,10,3,1,0,2,2,2
43025CLE,CLE,Kevin Love,28,15,0,2,0,0,2,9,4,4,1,7,6,11
43025CLE,CLE,J.R. Smith,22,10,1,0,0,0,4,7,4,3,1,1,1,4
43025CLE,CLE,Tristan Thompson,20,5,2,2,0,0,3,3,2,0,0,3,1,6
43025CLE,CLE,Jeff Green,14,6,0,1,0,0,3,8,3,1,0,0,0,0
43025CLE,CLE,Iman Shumpert,13,4,0,1,1,0,3,3,2,0,0,0,0,2
43025CLE,CLE,Kyle Korver,7,0,0,0,0,0,2,0,0,0,0,0,0,0
43025GS,HOU,Trevor Ariza,38,8,5,1,2,0,2,9,3,5,2,0,0,6
43025GS,HOU,James Harden,36,27,10,3,1,0,2,23,10,9,4,4,3,6
43025GS,HOU,Ryan Anderson,33,13,1,0,1,1,3,12,5,8,3,0,0,8
43025GS,HOU,Chris Paul,33,4,11,1,2,1,4,9,2,4,0,0,0,8
43025GS,HOU,Clint Capela,18,12,0,2,1,1,0,10,6,0,0,1,0,4
43025GS,HOU,Eric Gordon,29,24,1,2,1,2,1,16,9,6,0,8,6,1
43025GS,HOU,P.J. Tucker,29,20,0,1,1,0,3,9,6,6,4,6,4,6
43025GS,HOU,Luc Richard Mbah a Moute,23,14,0,2,0,0,1,9,6,3,2,0,0,4
43025GS,GS,Klay Thompson,38,16,3,1,2,2,0,14,6,7,4,0,0,6
43025GS,GS,Kevin Durant,38,20,7,8,0,4,4,15,7,5,2,5,4,5
43025GS,GS,Stephen Curry,30,22,4,2,1,0,4,18,8,9,3,3,3,5
43025GS,GS,Draymond Green,28,9,13,2,0,0,3,6,2,2,1,4,4,11
43025GS,GS,Zaza Pachulia,10,6,0,0,0,1,1,2,2,0,0,2,2,3
43025GS,GS,Nick Young,26,23,0,1,0,0,4,9,8,7,6,1,1,2
43025GS,GS,Patrick McCaw,19,4,1,0,1,1,1,3,2,0,0,0,0,3
43025GS,GS,Shaun Livingston,19,6,5,1,0,0,2,5,2,0,0,2,2,1
43025GS,GS,Jordan Bell,12,8,1,1,0,0,4,5,4,0,0,0,0,1
43025GS,GS,David West,9,4,0,1,0,1,0,3,2,0,0,0,0,1
43025GS,GS,Kevon Looney,8,1,0,0,1,0,2,0,0,0,0,2,1,2
43025GS,GS,Omri Casspi,4,2,0,0,0,0,0,0,0,0,0,2,2,1
43026DET,CHA,Kemba Walker,35,24,4,4,0,0,1,13,6,3,1,13,11,6
43026DET,CHA,Dwight Howard,31,10,1,3,1,2,2,9,5,0,0,2,0,15
43026DET,CHA,Jeremy Lamb,28,15,2,2,1,0,2,10,4,3,0,8,7,4
43026DET,CHA,Marvin Williams,27,7,0,0,0,0,2,5,2,4,2,2,1,2
43026DET,CHA,Dwayne Bacon,20,8,2,2,0,0,1,6,3,4,2,0,0,2
