pid,gid,team,minutes,points,assists,turnovers,steals,blocks,fouls,fga,fgm,threepa,threepm,fta,ftm,rebounds
78,43025CLE,Boston Celtics,40,25,0,3,3,0,5,23,11,9,2,2,1,6
257,43025CLE,Boston Celtics,39,22,10,2,3,0,4,17,8,9,4,2,2,4
506,43025CLE,Boston Celtics,37,14,3,1,0,0,4,12,5,2,1,3,3,10
244,43025CLE,Boston Celtics,32,9,5,0,0,1,2,7,2,2,0,7,5,7
225,43025CLE,Boston Celtics,5,2,0,0,0,0,1,2,1,1,0,0,0,1
489,43025CLE,Boston Celtics,35,12,3,2,2,2,2,16,5,4,0,3,2,9
466,43025CLE,Boston Celtics,20,9,2,0,3,0,0,6,2,3,1,4,4,3
43,43025CLE,Boston Celtics,19,6,1,2,0,1,5,2,2,0,0,4,2,5
409,43025CLE,Boston Celtics,9,0,0,0,0,0,1,2,0,1,0,0,0,0
307,43025CLE,Boston Celtics,5,0,0,0,0,0,0,1,0,1,0,0,0,1
266,43025CLE,Cleveland Cavaliers,41,29,9,4,0,2,3,19,12,5,1,4,4,16
127,43025CLE,Cleveland Cavaliers,35,11,2,1,2,0,2,10,3,5,1,4,4,5
464,43025CLE,Cleveland Cavaliers,31,14,2,2,0,0,2,14,5,3,1,4,3,4
542,43025CLE,Cleveland Cavaliers,29,8,3,4,0,2,1,10,3,1,0,2,2,2
328,43025CLE,Cleveland Cavaliers,28,15,0,2,0,0,2,9,4,4,1,7,6,11
492,43025CLE,Cleveland Cavaliers,22,10,1,0,0,0,4,7,4,3,1,1,1,4
519,43025CLE,Cleveland Cavaliers,20,5,2,2,0,0,3,3,2,0,0,3,1,6
205,43025CLE,Cleveland Cavaliers,14,6,0,1,0,0,3,8,3,1,0,0,0,0
483,43025CLE,Cleveland Cavaliers,13,4,0,1,1,0,3,3,2,0,0,0,0,2
300,43025CLE,Cleveland Cavaliers,7,0,0,0,0,0,2,0,0,0,0,0,0,0
25,43025GS,Houston Rockets,38,8,5,1,2,0,2,9,3,5,2,0,0,6
211,43025GS,Houston Rockets,36,27,10,3,1,0,2,23,10,9,4,4,3,6
18,43025GS,Houston Rockets,33,13,1,0,1,1,3,12,5,8,3,0,0,8
426,43025GS,Houston Rockets,33,4,11,1,2,1,4,9,2,4,0,0,0,8
91,43025GS,Houston Rockets,18,12,0,2,1,1,0,10,6,0,0,1,0,4
196,43025GS,Houston Rockets,29,24,1,2,1,2,1,16,9,6,0,8,6,1
526,43025GS,Houston Rockets,29,20,0,1,1,0,3,9,6,6,4,6,4,6
518,43025GS,Golden State Warriors,38,16,3,1,2,2,0,14,6,7,4,0,0,6
153,43025GS,Golden State Warriors,38,20,7,8,0,4,4,15,7,5,2,5,4,5
130,43025GS,Golden State Warriors,30,22,4,2,1,0,4,18,8,9,3,3,3,5
202,43025GS,Golden State Warriors,28,9,13,2,0,0,3,6,2,2,1,4,4,11
417,43025GS,Golden State Warriors,10,6,0,0,0,1,1,2,2,0,0,2,2,3
583,43025GS,Golden State Warriors,26,23,0,1,0,0,4,9,8,7,6,1,1,2
347,43025GS,Golden State Warriors,19,4,1,0,1,1,1,3,2,0,0,0,0,3
323,43025GS,Golden State Warriors,19,6,5,1,0,0,2,5,2,0,0,2,2,1
49,43025GS,Golden State Warriors,12,8,1,1,0,0,4,5,4,0,0,0,0,1
551,43025GS,Golden State Warriors,9,4,0,1,0,1,0,3,2,0,0,0,0,1
325,43025GS,Golden State Warriors,8,1,0,0,1,0,2,0,0,0,0,2,1,2
96,43025GS,Golden State Warriors,4,2,0,0,0,0,0,0,0,0,0,2,2,1
544,43026DET,Charlotte Hornets,35,24,4,4,0,0,1,13,6,3,1,13,11,6
246,43026DET,Charlotte Hornets,31,10,1,3,1,2,2,9,5,0,0,2,0,15
305,43026DET,Charlotte Hornets,28,15,2,2,1,0,2,10,4,3,0,8,7,4
566,43026DET,Charlotte Hornets,27,7,0,0,0,0,2,5,2,4,2,2,1,2
31,43026DET,Charlotte Hornets,20,8,2,2,0,0,1,6,3,4,2,0,0,2
585,43026DET,Charlotte Hornets,23,8,0,2,0,1,2,5,3,0,0,2,2,9
291,43026DET,Charlotte Hornets,23,4,2,0,0,0,0,9,1,5,0,2,2,4
372,43026DET,Charlotte Hornets,21,3,1,3,0,0,1,9,1,6,1,0,0,0
198,43026DET,Charlotte Hornets,17,5,3,0,0,0,1,4,2,2,1,0,0,2
502,43026DET,Charlotte Hornets,13,6,1,1,2,0,3,3,2,3,2,0,0,3
278,43026DET,Detriot Pistons,40,2,1,0,4,0,1,13,0,6,0,2,2,4
219,43026DET,Detriot Pistons,34,27,3,1,0,0,3,18,11,7,4,1,1,10
265,43026DET,Detriot Pistons,27,13,8,0,1,0,2,10,5,1,0,3,3,5
70,43026DET,Detriot Pistons,23,15,1,2,0,0,4,10,7,0,0,1,1,2
149,43026DET,Detriot Pistons,22,8,4,0,1,2,3,9,3,0,0,2,2,13
181,43026DET,Detriot Pistons,25,16,0,1,3,0,0,11,6,6,3,1,1,4
318,43026DET,Detriot Pistons,19,4,0,1,0,1,0,6,2,1,0,1,0,3
155,43026DET,Detriot Pistons,16,13,1,0,1,0,2,10,5,4,2,1,1,4
375,43026DET,Detriot Pistons,12,0,0,0,3,0,2,0,0,0,0,0,0,1
470,43026IND,Brooklyn Nets,30,30,5,2,1,0,4,22,12,8,4,2,2,3
92,43026IND,Brooklyn Nets,28,10,2,2,1,0,2,12,4,5,1,2,1,9
241,43026IND,Brooklyn Nets,28,14,2,1,1,0,3,4,3,0,0,8,8,4
322,43026IND,Brooklyn Nets,25,18,4,3,0,0,3,12,5,2,1,7,7,0
382,43026IND,Brooklyn Nets,14,4,0,2,0,0,1,4,2,1,0,0,0,3
69,43026IND,Brooklyn Nets,28,20,0,2,0,0,2,10,7,1,0,7,6,10
319,43026IND,Brooklyn Nets,28,12,4,1,2,1,3,15,5,4,1,1,1,2
123,43026IND,Brooklyn Nets,27,12,1,2,2,1,2,5,3,3,2,5,4,7
144,43026IND,Brooklyn Nets,17,2,4,2,0,0,2,5,1,1,0,0,0,3
2,43026IND,Brooklyn Nets,16,9,0,3,0,0,3,5,3,5,3,0,0,2
528,43026IND,Indianapolis Pacers,34,21,2,1,0,4,3,13,8,3,1,4,4,14
584,43026IND,Indianapolis Pacers,33,17,3,2,2,2,3,16,7,5,1,2,2,11
113,43026IND,Indianapolis Pacers,30,21,11,2,2,0,1,12,9,3,1,3,2,3
411,43026IND,Indianapolis Pacers,25,22,4,3,4,0,5,12,6,6,2,10,8,5
290,43026IND,Indianapolis Pacers,25,11,4,1,2,1,1,10,4,2,1,2,2,3
499,43026IND,Indianapolis Pacers,24,16,3,1,1,1,3,19,6,9,2,5,2,1
471,43026IND,Indianapolis Pacers,19,16,1,1,0,0,3,7,7,0,0,3,2,7
560,43026IND,Indianapolis Pacers,11,2,0,0,1,0,1,3,1,2,0,0,0,1
312,43026IND,Indianapolis Pacers,10,0,1,0,0,1,3,1,0,1,0,0,0,2
543,43026ORL,Miami Heat,38,15,4,3,2,1,1,17,7,6,1,0,0,0
556,43026ORL,Miami Heat,36,26,1,1,0,1,1,18,11,1,1,3,3,22
455,43026ORL,Miami Heat,35,10,2,2,0,1,3,9,4,7,2,0,0,2
412,43026ORL,Miami Heat,21,10,3,0,0,0,4,7,3,2,1,3,3,5
573,43026ORL,Miami Heat,23,10,2,1,1,0,2,8,4,1,1,2,1,4
279,43026ORL,Miami Heat,21,7,1,1,0,0,2,9,3,3,1,0,0,2
276,43026ORL,Miami Heat,19,11,8,4,1,1,5,9,5,2,0,4,1,4
156,43026ORL,Miami Heat,10,3,0,1,1,0,0,5,1,4,0,1,1,0
4,43026ORL,Miami Heat,6,0,0,0,0,0,2,1,0,0,0,0,0,0
174,43026ORL,Orlando Magic,34,23,3,1,1,0,0,17,9,5,3,2,2,1
195,43026ORL,Orlando Magic,34,14,3,1,0,2,4,13,4,2,1,6,5,9
429,43026ORL,Orlando Magic,32,13,9,4,3,1,2,12,6,1,1,2,0,3
465,43026ORL,Orlando Magic,31,15,4,1,2,1,0,11,5,7,3,2,2,6
486,43026ORL,Orlando Magic,28,12,0,1,0,0,4,10,5,1,0,2,2,2
258,43026ORL,Orlando Magic,17,4,0,0,0,2,3,3,2,1,0,0,0,8
29,43026ORL,Orlando Magic,16,7,2,2,0,0,1,4,2,1,0,5,3,4
58,43026ORL,Orlando Magic,16,9,0,3,0,2,3,8,4,0,0,2,1,5
485,43026WAS,Philadelphia 76ers,35,18,5,1,2,1,3,15,7,0,0,6,4,10
453,43026WAS,Philadelphia 76ers,32,12,4,2,1,0,4,10,4,8,4,0,0,2
122,43026WAS,Philadelphia 76ers,29,29,1,5,1,2,4,15,9,11,7,4,4,7
42,43026WAS,Philadelphia 76ers,28,13,3,2,1,0,4,10,5,7,3,0,0,3
158,43026WAS,Philadelphia 76ers,27,18,3,4,0,1,2,15,7,4,0,4,4,13
474,43026WAS,Philadelphia 76ers,23,3,2,0,0,1,3,5,1,2,0,1,1,3
179,43026WAS,Philadelphia 76ers,18,10,1,0,0,1,0,9,5,0,0,2,0,3
349,43026WAS,Philadelphia 76ers,15,2,3,2,0,0,0,2,1,0,0,0,0,0
273,43026WAS,Philadelphia 76ers,15,5,1,1,0,0,6,7,2,0,0,2,1,5
545,43026WAS,Washington Wizards,37,28,8,2,0,2,2,28,10,3,0,9,8,5
45,43026WAS,Washington Wizards,36,25,4,2,3,1,2,17,6,4,1,16,12,6
197,43026WAS,Washington Wizards,34,16,1,1,0,3,3,12,7,0,0,3,2,17
439,43026WAS,Washington Wizards,33,10,0,0,3,1,3,11,5,3,0,0,0,8
493,43026WAS,Washington Wizards,7,0,0,0,0,0,1,1,0,1,0,0,0,1
359,43026WAS,Washington Wizards,19,14,0,0,0,0,0,8,3,2,1,7,7,1
478,43026WAS,Washington Wizards,15,7,0,1,0,0,0,6,3,3,1,0,0,2
337,43026WAS,Washington Wizards,14,6,1,1,0,1,4,3,3,0,0,0,0,4
177,43026WAS,Washington Wizards,13,0,5,2,0,0,3,1,0,0,0,0,0,0
362,43026BOS,Milwaukee Bucks,43,15,6,5,2,0,4,17,6,5,1,2,2,9
73,43026BOS,Milwaukee Bucks,41,19,4,2,0,0,2,10,6,5,3,4,4,1
20,43026BOS,Milwaukee Bucks,37,37,3,5,3,0,4,22,13,1,0,13,11,13
495,43026BOS,Milwaukee Bucks,29,5,1,0,0,0,4,4,2,3,1,0,0,4
338,43026BOS,Milwaukee Bucks,14,2,0,1,1,0,1,4,1,1,0,0,0,3
138,43026BOS,Milwaukee Bucks,26,15,1,1,0,0,2,10,4,4,2,5,5,1
227,43026BOS,Milwaukee Bucks,17,5,2,1,0,4,2,2,2,0,0,2,1,6
373,43026BOS,Milwaukee Bucks,17,10,1,0,0,0,3,5,4,0,0,4,2,6
538,43026BOS,Milwaukee Bucks,3,0,0,0,0,0,0,0,0,0,0,0,0,0
257,43026BOS,Boston Celtics,39,17,3,3,3,0,1,25,7,7,2,2,1,4
506,43026BOS,Boston Celtics,37,8,2,2,1,0,3,7,3,1,0,5,2,9
244,43026BOS,Boston Celtics,33,13,4,2,3,2,3,11,6,2,0,1,1,6
489,43026BOS,Boston Celtics,32,12,4,3,3,0,4,13,4,7,3,6,1,7
78,43026BOS,Boston Celtics,28,18,3,0,0,0,6,11,6,3,2,5,4,5
466,43026BOS,Boston Celtics,27,15,6,0,2,0,4,12,6,5,3,0,0,7
43,43026BOS,Boston Celtics,16,4,0,0,0,0,4,3,2,0,0,0,0,2
409,43026BOS,Boston Celtics,12,3,0,1,0,0,0,2,1,2,1,0,0,1
388,43026BOS,Boston Celtics,11,4,1,0,0,0,1,4,2,1,0,0,0,0
514,43026BOS,Boston Celtics,5,6,0,1,0,0,1,3,2,0,0,2,2,2
132,43026MEM,New Orleans Pelicans,40,33,0,5,0,1,5,23,9,2,1,17,14,18
238,43026MEM,New Orleans Pelicans,39,4,4,3,1,0,5,11,2,3,0,0,0,6
121,43026MEM,New Orleans Pelicans,38,28,2,4,0,7,4,21,9,9,3,8,7,10
374,43026MEM,New Orleans Pelicans,34,11,4,2,1,0,3,11,5,2,0,1,1,2
128,43026MEM,New Orleans Pelicans,26,7,0,0,1,1,1,4,2,3,1,3,2,9
105,43026MEM,New Orleans Pelicans,21,3,2,1,1,0,3,3,1,3,1,0,0,3
364,43026MEM,New Orleans Pelicans,17,0,0,0,0,1,4,1,0,1,0,0,0,0
126,43026MEM,New Orleans Pelicans,13,5,3,2,0,0,4,4,2,2,1,0,0,1
12,43026MEM,New Orleans Pelicans,11,0,0,1,0,2,2,1,0,0,0,0,0,2
141,43026MEM,New Orleans Pelicans,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,43026MEM,Memphis Grizzlies,33,27,3,1,2,0,3,15,9,9,4,7,5,5
183,43026MEM,Memphis Grizzlies,29,14,4,2,0,3,6,18,6,5,2,0,0,11
159,43026MEM,Memphis Grizzlies,19,5,2,0,0,0,0,2,2,1,1,0,0,1
221,43026MEM,Memphis Grizzlies,19,2,1,1,0,1,2,6,1,0,0,0,0,2
204,43026MEM,Memphis Grizzlies,4,2,1,0,0,0,1,2,1,0,0,0,0,1
75,43026MEM,Memphis Grizzlies,29,19,2,2,4,2,2,13,7,2,0,7,5,5
578,43026MEM,Memphis Grizzlies,27,10,0,0,2,1,2,7,5,0,0,2,0,4
99,43026MEM,Memphis Grizzlies,26,5,4,0,0,0,3,9,1,4,0,5,3,2
162,43026MEM,Memphis Grizzlies,20,11,2,1,0,0,3,12,4,4,1,2,2,5
341,43026MEM,Memphis Grizzlies,19,2,0,4,0,1,5,6,1,3,0,0,0,5
422,43026MEM,Memphis Grizzlies,15,6,0,0,1,0,2,2,2,1,1,5,1,4
